alpha_name,ic_mean,ic_std,ic_ir,ic_fold1,ic_fold2,ic_fold3,sharpe_mean,max_dd_mean,total_return_mean
momentum_002,-0.00011898179612735002,0.00971450685536776,-0.012247847255530681,0.012614775469128814,-0.009961248695667559,0.005994619014292989,0.05192434665961626,-6.791243224234288,0.9159205226512348
combo_001,-0.0002534807366818689,0.004980468482196821,-0.050894958493957136,-0.002801058983360121,0.0005838171519263342,0.007330942951011693,0.05033543248047964,-9.64871607238844,0.6765068677205344
momentum_008,-0.0005505262599574507,0.004292251314451951,-0.1282604907368393,-5.469163376117996e-05,0.0022873328767433745,0.003252436356052617,0.03870056911881201,-9.675894034641859,0.3413248742845213
mr_007,-0.0015470336824436489,0.006946233248549952,-0.22271548148294573,0.0005800552299796222,-0.00041332360503357614,-0.012713533390917721,-0.05033543248047964,-96.94063103111968,-0.28653589791337775
mr_014,-0.001788213032434574,0.0080266348962261,-0.22278489747619415,-0.008603940135754487,-0.005258260860104896,-0.005198498083336968,-0.05033543248047964,-96.94063103111968,-0.28653589791337775
mr_013,-0.0019727446182633895,0.011250877912053602,-0.17534139412799904,-0.007710700440080112,0.01270758912948928,-0.016882075602781054,-0.04869799977048981,-124.05088823186153,-0.2731544221849649
momentum_014,-0.0021462509045447878,0.006251114801867524,-0.3433389039509551,0.0026733486133105667,-0.011013632193025077,0.004686719206846479,0.04869799977048981,-25.096125883997424,0.6462030855223797
momentum_006,-0.0027570151300067083,0.007502833818209907,-0.3674631741563085,-0.001312088822643668,0.008928129849665668,-0.009734512883122848,-0.05700158223851212,-20.188816580565405,-0.5142905355133482
vol_010,-0.0031400746070540542,0.008144697126723733,-0.38553608049476645,-0.003652721283176626,0.00478808182330466,-0.016194780903963604,-0.05033543248047964,-96.94063103111968,-0.28653589791337775
mr_002,-0.0034360073576147846,0.0073119129259204595,-0.469919074861281,-0.0014326708750199224,-0.00022274775451434724,-0.01568566035827081,-0.05033543248047964,-96.94063103111968,-0.28653589791337775
momentum_005,-0.0037538307812440778,0.0041817302716575305,-0.8976740577187337,-0.006427035762409832,0.003200485429786373,-0.007518420993101739,-0.037216888243065196,-22.934870335337425,-0.37975238234013875
momentum_001,-0.0037538307812440778,0.0041817302716575305,-0.8976740577187337,-0.006427035762409832,0.003200485429786373,-0.007518420993101739,-0.037216888243065196,-22.934870335337425,-0.37975238234013875
vwap_002,-0.0038832173368842414,0.007019592161774514,-0.5531970016763176,0.0033569214966827875,0.0026244836998498503,-0.012735439929368722,0.05033543248047964,-9.64871607238844,0.6765068677205344
mr_006,-0.004004903477629212,0.005321813585349957,-0.7525448634003316,-0.0014891464370721437,0.00211693089103652,-0.012334741263049055,-0.05033543248047964,-96.94063103111968,-0.28653589791337775
time_003,-0.0041268491204658215,0.0034351653213225215,-1.201353860569658,-0.005287139577348778,0.0013853374498480051,-0.008035059934088871,0.05033543248047964,-9.64871607238844,0.6765068677205344
momentum_003,-0.004167563380207403,0.007158464979532232,-0.582186738654651,-0.011507294849296933,-0.00705471140628802,0.007671672587363356,0.03962160387405936,-10.18279591471816,0.25682219504701276
mr_003,-0.004228615169588526,0.005394366426329975,-0.7838946848231515,-0.001133609138267053,-0.0051302716190407705,-0.012522487980765672,-0.05033543248047964,-96.94063103111968,-0.28653589791337775
mr_009,-0.004488988625661223,0.008194273144152518,-0.5478202333131391,-0.01197094360951715,0.004037934710012075,-0.013358639927693308,-0.05033543248047964,-96.94063103111968,-0.28653589791337775
